"Customer","Type","Type (Online - Virtual or Physical)","Channel Category","Country Code","Nation Name","Region Name","State/Province Name","City Name","District Name","Location Name","Postal Code","Address","Group","Region Site Group Name","REP Flag","Latitude","Longitude","Initially Admitted","Updated Dttm"
"Aksay1-KEM-Oral","STORE","PHYSICAL","OPERATOR","KZ","KAZAKHSTAN","Western","Zapadno-Kazakhstanskaya","Aksai","","Aksai(KZ001001033)","","","C00YR6307YR9","","","","","2014/12/19 12:25:25","2021/03/15 20:14:00"
"Aksay-2-DPD-Druzhby-Narodov","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Zapadno-Kazakhstanskaya","Aksai","","Aksai(KZ001001033)","","г.Аксай ул.Дружбы Народов 6/7а","CXX3YR00800","","Y","","","2019/03/19 18:40:23","2024/05/03 17:47:44"
"Aksay-nokia-Zharsuat","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","","","","","KAZAKHSTAN(KZ)","","KAZAKHSTAN","CXX3YR00800","","Y","","","2024/01/17 19:59:52","2024/05/03 19:59:31"
"Aksay-tesla-Bayterek","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","","","","","KAZAKHSTAN(KZ)","","KAZAKHSTAN","CXXYR90YRFK00","","Y","51.148678","71.47001","2024/01/18 00:43:08","2024/01/22 03:07:17"
"Akshukir-TD-PVZ","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Western","Mangistauskaya","Mangystau","","Mangystau(KZ002011001)","","ПВЗ Манг. Акшукир","CXXYR90YRFK07","","Y","43.201881","76.891827","2022/03/01 15:20:49","2024/03/14 01:39:15"
"Aksu1-KEM","STORE","PHYSICAL","OPERATOR","KZ","KAZAKHSTAN","Northern","Pavlodarskaya","","","Pavlodarskaya(KZ003008)","","","C00YR6307YR9","","","","","2014/12/19 12:34:33","2021/03/15 20:14:00"
"Aksu-DPD-prspct-Astana-44","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Northern","Pavlodarskaya","Aksu","","Aksu(KZ003008031)","","г.Аксу пр.Астана 44","CXX3YR00800","","Y","","","2019/03/19 18:40:23","2024/05/03 13:04:22"
"Aksukent-royal mail-Zhibek-Zholy-TD-NIK","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Southern","Yuzhno-Kazakhstanskaya","Aksukent","","Aksukent(KZ001004008)","","ul.Zhibek zholy TD""NIK""","CXX3YR00807","","Y","42.420747","69.830447","2014/05/12 17:19:51","2024/05/27 20:52:11"
"Aksu-nokia-Astana","STORE","VIRTUAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Northern","Pavlodarskaya","Aksu","","Aksu(KZ003008031)","","prospect Astana 44","CXX3YR00800","","Y","52.037652","76.931295","2014/12/23 17:11:02","2024/05/03 13:04:22"
"Aksu-o2-Auezova-38/1","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Northern","Pavlodarskaya","Aksu","","Aksu(KZ003008031)","","Aksu, Pavlodarskaya, KAZAKHSTAN","CXXYR90YRFK08","","Y","","","2017/10/03 17:54:37","2024/05/10 17:39:31"
"Aksu-o2-Zhibek-Zholy-81-NIK","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Southern","Yuzhno-Kazakhstanskaya","Aksukent","","Aksukent(KZ001004008)","","Aksukent, Yuzhno-Kazakhstanskaya, KAZAKHSTAN","CXXYR90YRFK08","","Y","","","2018/09/24 19:23:50","2023/01/24 16:21:34"
"Aksu-ufc-Lenina-24/1-TRC-""Aksu-mall""","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Northern","Pavlodarskaya","Aksu","","Aksu(KZ003008031)","","Aksu, Pavlodarskaya, KAZAKHSTAN","CXXYR90YRFK08","","Y","51.133178","71.40351","2023/11/28 18:38:41","2023/12/25 03:06:57"
"Aksy-DHLL-TC-Saule","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Northern","Pavlodarskaya","Aksu","","Aksu(KZ003008031)","","Aksu, Pavlodarskaya, KAZAKHSTAN","G069FK08940","","Y","","","2022/03/31 18:52:02","2022/06/13 03:07:14"
"Aksy-tesla-Kamzina-31/2","STORE","PHYSICAL","ELECTRONICS CHAIN","KZ","KAZAKHSTAN","Northern","Pavlodarskaya","Pavlodar","","Pavlodar(KZ003008012)","","Pavlodar, Pavlodarskaya, KAZAKHSTAN","CXXYR90YRFK00","","Y","","","2021/11/29 11:51:33","2022/03/25 12:44:00"
